FID,Shape,SubID,slope,aspect,land,elev,HRU_ID,area_m,ZonalElev,ZonalSlp,ZonalAspt,ZonalSx,ZonalSw,Longitude,Latitude
0,"(318841.7749012989, 4433370.302328563)",1,1,3,42,3500,Sub1_E3500_S1_A3_L42,57039149.5464,3319.31005859375,12.460200309753418,182.8489990234375,6.653160095214844,377.23199462890625,-107.123171379,40.0311162717
1,"(333833.1003241146, 4441942.238553828)",2,1,1,40,2750,Sub2_E2750_S1_A1_L40,20059036.5487,2583.72998046875,5.7050700187683105,143.02200317382812,3.716219902038574,382.4010009765625,-106.949774058,40.1113876341
2,"(325408.43035549985, 4436199.1890585935)",2,1,1,42,3250,Sub2_E3250_S1_A1_L42,57700660.9557,3127.340087890625,11.76259994506836,156.9969940185547,7.354650020599365,378.8370056152344,-107.047019486,40.0579718209
3,"(339270.4761384201, 4440627.863581207)",3,1,1,40,2750,Sub3_E2750_S1_A1_L40,39325717.4189,2604.300048828125,7.655570030212402,133.3939971923828,5.954110145568848,378.4700012207031,-106.945811839,40.0809041285
4,"(339903.0157761255, 4440544.946480914)",3,1,2,50,2750,Sub3_E2750_S1_A2_L50,20137478.3558,2604.300048828125,7.559380054473877,128.27200317382812,3.178489923477173,384.2699890136719,-106.911853316,40.0748301056
5,"(342182.551947137, 4443045.236449672)",3,1,4,50,2750,Sub3_E2750_S1_A4_L50,60166485.0074,2655.429931640625,9.529930114746094,224.2899932861328,-0.6598290205001831,382.239013671875,-106.852122201,40.1229276352
6,"(334606.5452730417, 4446314.554859705)",4,1,1,50,2500,Sub4_E2500_S1_A1_L50,17519439.8495,2420.489990234375,5.956200122833252,158.4550018310547,3.94596004486084,381.8590087890625,-106.941824043,40.1509101839
7,"(329315.9708545966, 4442050.913911702)",4,1,1,40,2750,Sub4_E2750_S1_A1_L40,35684564.6401,2761.139892578125,10.767999649047852,131.48500061035156,8.037389755249023,377.81500244140625,-107.002775805,40.1114619412
8,"(330287.22749322525, 4447354.872941042)",5,1,1,50,2500,Sub5_E2500_S1_A1_L50,23443583.1822,2508.330078125,8.748149871826172,148.37399291992188,6.6438798904418945,378.218994140625,-106.992780844,40.1594159703
9,"(324766.73474337196, 4443907.424158938)",5,1,1,42,3250,Sub5_E3250_S1_A1_L42,21370249.4079,3027.909912109375,11.231900215148926,121.06800079345703,9.141409873962402,376.9809875488281,-107.056627432,40.1272424465
10,"(331649.55491156306, 4448273.25909539)",5,1,3,50,2500,Sub5_E2500_S1_A3_L50,10323469.9046,2440.0,8.753069877624512,193.54400634765625,2.2859299182891846,383.1809997558594,-106.953636678,40.1803338861
11,"(330860.2105238078, 4452137.41232405)",6,1,1,50,2500,Sub6_E2500_S1_A1_L50,27178321.0498,2427.800048828125,8.752090454101562,151.33799743652344,5.005549907684326,379.47601318359375,-106.987313193,40.2025939728
12,"(325189.6944041408, 4449242.501964343)",6,1,2,40,2750,Sub6_E2750_S1_A2_L40,38421409.135,2761.919921875,12.271599769592285,139.8520050048828,7.415259838104248,377.1409912109375,-107.053112895,40.1753663118
13,"(338097.72562177957, 4453213.679545531)",7,1,1,40,2750,Sub7_E2750_S1_A1_L40,14960858.285,2608.9599609375,11.74940013885498,205.1179962158203,2.742269992828369,378.5849914550781,-106.902592168,40.2137136551
14,"(342625.4804115926, 4450644.578148074)",7,1,1,42,3000,Sub7_E3000_S1_A1_L42,18673624.2066,2888.580078125,7.826539993286133,234.302001953125,2.1427299976348877,383.5889892578125,-106.848782179,40.1914416563
15,"(336275.3921951488, 4453969.979546623)",7,1,4,50,2500,Sub7_E2500_S1_A4_L50,62868733.3358,2403.2900390625,9.4514799118042,204.37100219726562,2.9586598873138428,379.3810119628906,-106.924188623,40.2201697508
16,"(350211.66911720857, 4448584.134158592)",8,1,1,42,2750,Sub8_E2750_S1_A1_L42,109041262.53,2666.35009765625,12.712599754333496,162.84500122070312,4.621530055999756,375.8420104980469,-106.759223487,40.1742755702
17,"(354763.2356406434, 4446775.018620863)",8,1,1,42,3250,Sub8_E3250_S1_A1_L42,13306157.8689,3089.169921875,11.422499656677246,186.91900634765625,2.6810998916625977,381.6910095214844,-106.683815021,40.1609228271
18,"(355525.12739972514, 4452469.886015357)",9,1,5,42,3000,Sub9_E3000_S1_A5_L42,64025925.3252,2927.93994140625,14.698100090026855,186.71200561523438,2.544110059738159,376.7309875488281,-106.697717315,40.2102001556
19,"(342572.94172812894, 4460285.292442531)",10,1,1,50,2250,Sub10_E2250_S1_A1_L50,15815453.119,2209.590087890625,8.113120079040527,175.8159942626953,3.9766199588775635,378.8529968261719,-106.851763046,40.2782437979
20,"(343550.4946794422, 4458182.774794809)",10,1,1,40,2500,Sub10_E2500_S1_A1_L40,21708752.7508,2378.659912109375,13.572500228881836,181.4029998779297,6.330329895019531,370.1260070800781,-106.881210976,40.2556553784
21,"(342929.313728547, 4458181.388221769)",10,1,1,40,2750,Sub10_E2750_S1_A1_L40,26805005.9479,2592.2900390625,15.081899642944336,170.73599243164062,5.184999942779541,373.1809997558594,-106.856313803,40.2289113197
22,"(342447.61295613536, 4459714.6825965345)",10,1,2,40,2500,Sub10_E2500_S1_A2_L40,17627445.5983,2383.489990234375,13.49899959564209,143.7550048828125,4.586209774017334,379.3559875488281,-106.889042699,40.2852777104
23,"(356143.6651597422, 4458143.440014446)",11,1,1,42,3000,Sub11_E3000_S1_A1_L42,61178881.7497,2831.9599609375,13.526800155639648,136.33900451660156,9.040550231933594,373.1619873046875,-106.691723279,40.2613997166
